show_rank,show_name,show_author,show_ticket
1,万族之劫,老鹰吃小鸡,246659
2,大梦主,忘语,138784
3,大奉打更人,卖报小郎君,128689
4,长夜余火,爱潜水的乌贼,85300
5,全职艺术家,我最白,74360
6,白骨大圣,咬火,61424
7,轮回乐园,那一只蚊子,49225
8,我的徒弟都是大反派,谋生任转蓬,42899
9,我真没想重生啊,柳岸花又明,37623
10,魔临,纯洁滴小龙,31510
11,黎明之剑,远瞳,29175
12,十方武圣,滚开,28717
13,绍宋,榴弹怕水,27177
14,东晋北府一丘八,指云笑天道1,27072
15,左道倾天,风凌天下,26517
16,神话版三国,坟土荒草,26387
17,我只会拍烂片啊,巫马行,24447
18,亏成首富从游戏开始,青衫取醉,23767
19,没钱上大学的我只能去屠龙,宇宙无敌水哥,21957
20,禁区之狐,林海听涛,19279
21,掌门低调点,幼儿园一把手,17705
22,红楼春,屋外风吹凉,17624
23,精灵掌门人,轻泉流响,17624
24,赘婿,愤怒的香蕉,17324
25,临渊行,宅猪,17189
26,明天下,孑与2,15975
27,稳住别浪,跳舞,15882
28,我在东京教剑道,范马加藤惠,15745
29,开局签到如来神掌,回到原初,15670
30,港综世界大枭雄,萌俊,15538
31,在港综成为传说,凤嘲凰,15183
32,九星之主,育,14368
33,沧元图,我吃西红柿,14319
34,旧日之箓,熊狼狗,14222
35,烂柯棋缘,真费事,13957
36,重生过去震八方,锋临天下,13680
37,玩家凶猛,黑灯夏火,13365
38,圣墟,辰东,13273
39,我加载了恋爱游戏,掠过的乌鸦,13092
40,朕只是一个演员,平层,12858
41,大唐扫把星,迪巴拉爵士,12603
42,天启预报,风月,12594
43,剑卒过河,惰堕,12494
44,御九天,骷髅精灵,12392
45,颠覆了这是皇帝聊天群,黑血粉,12383
46,神秘复苏,佛前献花,12381
47,我的1978小农庄,名窑,12310
48,我真没想当训练家啊,北川南海,12219
49,我不可能是剑神,裴不了,11994
50,怪物被杀就会死,阴天神隐,11581
51,万古神帝,飞天鱼,11180
52,我真的只是想打铁,静悄悄地写,10790
53,我只想自力更生,中秋月明,10777
54,大数据修仙,陈风笑,10585
55,大周仙吏,荣小荣,10260
56,户外直播间,昙花落,9914
57,赛博英雄传,吾道长不孤,9875
58,诡异流修仙游戏,我也很绝望,9828
59,芝加哥1990,齐可休,9498
60,文明之万界领主,飞翔de懒猫,9472
61,从火影开始做幕后黑手,浓墨浇书,9434
62,梦回大明春,王梓钧,9358
63,只想退休的我被迫成了大将,咸鱼军头,9172
64,信息全知者,魔性沧月,9159
65,斗罗大陆IV终极斗罗,唐家三少,9074
66,小阁老,三戒大师,8937
67,朕又不想当皇帝,争斤论两花花帽,8698
68,柯南之我不是蛇精病,烟火酒颂,8665
69,诡秘之主,爱潜水的乌贼,8644
70,数风流人物,瑞根,8251
71,新书,七月新番,8055
72,唐朝贵公子,上山打老虎额,8051
73,从1983开始,睡觉会变白,7998
74,孙猴子是我师弟,汉宝,7983
75,有请小师叔,横扫天涯,7864
76,世界树的游戏,咯嘣,7864
77,金刚不坏大寨主,徍男,7638
78,穹顶之上,人间武库,7597
79,从红月开始,黑山老鬼,7510
80,最初进化,卷土,7496
81,我快亏成麻瓜了,江公子阿宝,7479
82,斯坦索姆神豪,余云飞,7432
83,从姑获鸟开始,活儿该,7430
84,伏天氏,净无痕,7413
85,我在决斗都市玩卡牌,名称被占用,7209
